_id,cwe_id,cwe_name,description
63e76e42e7ec9a5bef1df194,CWE-913,Improper Control of Dynamically-Managed Code Resources,"The software does not properly restrict reading from or writing to dynamically-managed code resources such as variables, objects, classes, attributes, functions, or executable instructions or statements."
63e76e42e7ec9a5bef1df195,CWE-94,Improper Control of Generation of Code ('Code Injection'),"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
63e76e42e7ec9a5bef1df196,CWE-116,Improper Encoding or Escaping of Output,"The software prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved."
63e76e42e7ec9a5bef1df197,CWE-924,Improper Enforcement of Message Integrity During Transmission in a Communication Channel,"The software establishes a communication channel with an endpoint and receives a message from that endpoint, but it does not sufficiently ensure that the message was not modified during transmission."
63e76e42e7ec9a5bef1df198,CWE-178,Improper Handling of Case Sensitivity,"The software does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results."
63e76e42e7ec9a5bef1df199,CWE-755,Improper Handling of Exceptional Conditions,The software does not handle or incorrectly handles an exceptional condition.
63e76e42e7ec9a5bef1df19a,CWE-665,Improper Initialization,"The software does not initialize or incorrectly initializes a resource, which might leave the resource in an unexpected state when it is accessed or used."
63e76e42e7ec9a5bef1df19b,CWE-20,Improper Input Validation,"The product receives input or data, but it does         not validate or incorrectly validates that the input has the         properties that are required to process the data safely and         correctly."
63e76e42e7ec9a5bef1df19c,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
63e76e42e7ec9a5bef1df19d,CWE-59,Improper Link Resolution Before File Access ('Link Following'),"The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource."
63e76e42e7ec9a5bef1df19e,CWE-667,Improper Locking,"The software does not properly acquire or release a lock on a resource, leading to unexpected resource state changes and behaviors."
63e76e42e7ec9a5bef1df19f,CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),"The software constructs a string for a command to executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."
63e76e42e7ec9a5bef1df1a0,CWE-1236,Improper Neutralization of Formula Elements in a CSV File,"The software saves user-provided information into a Comma-Separated Value (CSV) file, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as a command when the file is opened by spreadsheet software."
63e76e42e7ec9a5bef1df1a1,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
63e76e42e7ec9a5bef1df1a2,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"The software constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component."
63e76e42e7ec9a5bef1df1a3,CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),"The software constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
63e76e42e7ec9a5bef1df1a4,CWE-917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),"The software constructs all or part of an expression language (EL) statement in a Java Server Page (JSP) using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended EL statement before it is executed."
63e76e42e7ec9a5bef1df1a5,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"The software constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
63e76e42e7ec9a5bef1df1a6,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
63e76e42e7ec9a5bef1df1a7,CWE-281,Improper Preservation of Permissions,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
63e76e42e7ec9a5bef1df1a8,CWE-269,Improper Privilege Management,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor."
63e76e42e7ec9a5bef1df1a9,CWE-212,Improper Removal of Sensitive Information Before Storage or Transfer,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors."
63e76e42e7ec9a5bef1df1aa,CWE-404,Improper Resource Shutdown or Release,The program does not release or incorrectly releases a resource before it is made available for re-use.
63e76e42e7ec9a5bef1df1ab,CWE-307,Improper Restriction of Excessive Authentication Attempts,"The software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks."
63e76e42e7ec9a5bef1df1ac,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
63e76e42e7ec9a5bef1df1ad,CWE-920,Improper Restriction of Power Consumption,"The software operates in an environment in which power is a limited resource that cannot be automatically replenished, but the software does not properly restrict the amount of power that its operation consumes."
63e76e42e7ec9a5bef1df1ae,CWE-776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),"The software uses XML documents and allows their structure to be defined with a Document Type Definition (DTD), but it does not properly control the number of recursive definitions of entities."
63e76e42e7ec9a5bef1df1af,CWE-1021,Improper Restriction of Rendered UI Layers or Frames,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with."
63e76e42e7ec9a5bef1df1b0,CWE-611,Improper Restriction of XML External Entity Reference,"The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output."
63e76e42e7ec9a5bef1df1b1,CWE-662,Improper Synchronization,"The software utilizes multiple threads or processes to allow temporary access to a shared resource that can only be exclusive to one process at a time, but it does not properly synchronize these actions, which might cause simultaneous accesses of this resource by multiple threads or processes."
63e76e42e7ec9a5bef1df1b2,CWE-129,Improper Validation of Array Index,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array."
63e76e42e7ec9a5bef1df1b3,CWE-354,Improper Validation of Integrity Check Value,"The software does not validate or incorrectly validates the integrity check values or ""checksums"" of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission."
63e76e42e7ec9a5bef1df1b4,CWE-347,Improper Verification of Cryptographic Signature,"The software does not verify, or incorrectly verifies, the cryptographic signature for data."
63e76e42e7ec9a5bef1df1b5,CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,"The software receives input from an upstream component that specifies multiple attributes, properties, or fields that are to be initialized or updated in an object, but it does not properly control which attributes can be modified."
63e76e42e7ec9a5bef1df1b6,CWE-326,Inadequate Encryption Strength,"The software stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required."
63e76e42e7ec9a5bef1df1b7,CWE-838,Inappropriate Encoding for Output Context,"The software uses or specifies an encoding when generating output to a downstream component, but the specified encoding is not the same as the encoding that is expected by the downstream component."
63e76e42e7ec9a5bef1df1b8,CWE-829,Inclusion of Functionality from Untrusted Control Sphere,"The software imports, requires, or includes executable functionality (such as a library) from a source that is outside of the intended control sphere."
63e76e42e7ec9a5bef1df1b9,CWE-459,Incomplete Cleanup,"The software does not properly ""clean up"" and remove temporary or supporting resources after they have been used."
63e76e42e7ec9a5bef1df1ba,CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),"When malformed or abnormal HTTP requests are interpreted by one or more entities in the data flow between the user and the web server, such as a proxy or firewall, they can be interpreted inconsistently, allowing the attacker to ""smuggle"" a request to one device without the other device being aware of it."
63e76e42e7ec9a5bef1df1bb,CWE-863,Incorrect Authorization,"The software performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. This allows attackers to bypass intended access restrictions."
63e76e42e7ec9a5bef1df1bc,CWE-682,Incorrect Calculation,The software performs a calculation that generates incorrect or unintended results that are later used in security-critical decisions or resource management.
63e76e42e7ec9a5bef1df1bd,CWE-131,Incorrect Calculation of Buffer Size,"The software does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow."
63e76e42e7ec9a5bef1df1be,CWE-697,Incorrect Comparison,"The software compares two entities in a security-relevant context, but the comparison is incorrect, which may lead to resultant weaknesses."
63e76e42e7ec9a5bef1df1bf,CWE-681,Incorrect Conversion between Numeric Types,"When converting from one data type to another, such as long to integer, data can be omitted or translated in a way that produces unexpected values. If the resulting values are used in a sensitive context, then dangerous behaviors may occur."
63e76e42e7ec9a5bef1df1c0,CWE-276,Incorrect Default Permissions,"During installation, installed file permissions are set to allow anyone to modify those files."
63e76e42e7ec9a5bef1df1c1,CWE-732,Incorrect Permission Assignment for Critical Resource,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
63e76e42e7ec9a5bef1df1c2,CWE-669,Incorrect Resource Transfer Between Spheres,"The product does not properly transfer a resource/behavior to another sphere, or improperly imports a resource/behavior from another sphere, in a manner that provides unintended control over that resource."
63e76e42e7ec9a5bef1df1c3,CWE-704,Incorrect Type Conversion or Cast,"The software does not correctly convert an object, resource, or structure from one type to a different type."
63e76e42e7ec9a5bef1df1c4,CWE-335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),The software uses a Pseudo-Random Number Generator (PRNG) that does not correctly manage seeds.
63e76e42e7ec9a5bef1df1c5,CWE-1188,Insecure Default Initialization of Resource,"The software initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure."
63e76e42e7ec9a5bef1df1c6,CWE-922,Insecure Storage of Sensitive Information,The software stores sensitive information without properly limiting read or write access by unauthorized actors.
63e76e42e7ec9a5bef1df1c7,CWE-532,Insertion of Sensitive Information into Log File,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.
63e76e42e7ec9a5bef1df1c8,CWE-331,Insufficient Entropy,"The software uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others."
63e76e42e7ec9a5bef1df1c9,NVD-CWE-noinfo,Insufficient Information,There is insufficient information about the issue to classify it; details are unkown or unspecified.
63e76e42e7ec9a5bef1df1ca,CWE-613,Insufficient Session Expiration,"According to WASC, ""Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization."""
63e76e42e7ec9a5bef1df1cb,CWE-345,Insufficient Verification of Data Authenticity,"The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data."
63e76e42e7ec9a5bef1df1cc,CWE-522,Insufficiently Protected Credentials,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
63e76e42e7ec9a5bef1df1cd,CWE-190,Integer Overflow or Wraparound,"The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
63e76e42e7ec9a5bef1df1ce,CWE-191,Integer Underflow (Wrap or Wraparound),"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result."
63e76e42e7ec9a5bef1df1cf,CWE-436,Interpretation Conflict,"Product A handles inputs or steps differently than Product B, which causes A to perform incorrect actions based on its perception of B's state."
63e76e42e7ec9a5bef1df1d0,CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop'),"The program contains an iteration or loop with an exit condition that cannot be reached, i.e., an infinite loop."
63e76e42e7ec9a5bef1df1d1,CWE-306,Missing Authentication for Critical Function,The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
63e76e42e7ec9a5bef1df1d2,CWE-862,Missing Authorization,The software does not perform an authorization check when an actor attempts to access a resource or perform an action.
63e76e42e7ec9a5bef1df1d3,CWE-311,Missing Encryption of Sensitive Data,The software does not encrypt sensitive or critical information before storage or transmission.
63e76e42e7ec9a5bef1df1d4,CWE-909,Missing Initialization of Resource,The software does not initialize a critical resource.
63e76e42e7ec9a5bef1df1d5,CWE-401,Missing Release of Memory after Effective Lifetime,"The software does not sufficiently track and release allocated memory after it has been used, which slowly consumes remaining memory."
63e76e42e7ec9a5bef1df1d6,CWE-772,Missing Release of Resource after Effective Lifetime,"The software does not release a resource after its effective lifetime has ended, i.e., after the resource is no longer needed."
63e76e42e7ec9a5bef1df1d7,CWE-476,NULL Pointer Dereference,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
63e76e42e7ec9a5bef1df1d8,CWE-203,Observable Differences in Behavior to Error Inputs,Differences in device behavior to an error input may be used by an attacker to gather security-relevant information about the device. The information may be as simple as whether a particular operation was successful.
63e76e42e7ec9a5bef1df1d9,CWE-193,Off-by-one Error,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value."
63e76e42e7ec9a5bef1df1da,CWE-672,Operation on a Resource after Expiration or Release,"The software uses, accesses, or otherwise operates on a resource after that resource has been expired, released, or revoked."
63e76e42e7ec9a5bef1df1db,CWE-346,Origin Validation Error,The software does not properly verify that the source of data or communication is valid.
63e76e42e7ec9a5bef1df1dc,NVD-CWE-Other,Other,"NVD is only using a subset of CWE for mapping instead of the entire CWE, and the weakness type is not covered by that subset."
63e76e42e7ec9a5bef1df1dd,CWE-125,Out-of-bounds Read,"The software reads data past the end, or before the beginning, of the intended buffer."
63e76e42e7ec9a5bef1df1de,CWE-787,Out-of-bounds Write,"The software writes data past the end, or before the beginning, of the intended buffer."
63e76e42e7ec9a5bef1df1df,CWE-617,Reachable Assertion,"The product contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavior that is more severe than necessary."
63e76e42e7ec9a5bef1df1e0,CWE-763,Release of Invalid Pointer or Reference,"The application attempts to return a memory resource to the system, but calls the wrong release function or calls the appropriate release function incorrectly."
63e76e42e7ec9a5bef1df1e1,CWE-565,Reliance on Cookies without Validation and Integrity Checking,"The application relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user."
63e76e42e7ec9a5bef1df1e2,CWE-918,Server-Side Request Forgery (SSRF),"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination."
63e76e42e7ec9a5bef1df1e3,CWE-384,Session Fixation,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions."
63e76e42e7ec9a5bef1df1e4,CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition,"The software checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the software to perform invalid actions when the resource is in an unexpected state."
63e76e42e7ec9a5bef1df1e5,CWE-252,Unchecked Return Value,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
63e76e42e7ec9a5bef1df1e6,CWE-674,Uncontrolled Recursion,"The product does not properly control the amount of recursion that takes place, which consumes excessive resources, such as allocated memory or the program stack."
63e76e42e7ec9a5bef1df1e7,CWE-400,Uncontrolled Resource Consumption,"The software does not properly control the allocation and maintenance of a limited resource, thereby enabling an actor to influence the amount of resources consumed, eventually leading to the exhaustion of available resources."
63e76e42e7ec9a5bef1df1e8,CWE-427,Uncontrolled Search Path Element,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors."
63e76e42e7ec9a5bef1df1e9,CWE-428,Unquoted Search Path or Element,"The product uses a search path that contains an unquoted element, in which the element contains whitespace or other separators. This can cause the product to access resources in a parent path."
63e76e42e7ec9a5bef1df1ea,CWE-434,Unrestricted Upload of File with Dangerous Type,The software allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
63e76e42e7ec9a5bef1df1eb,CWE-426,Untrusted Search Path,The application searches for critical resources using an externally-supplied search path that can point to resources that are not under the application's direct control.
63e76e42e7ec9a5bef1df1ec,CWE-601,URL Redirection to Untrusted Site ('Open Redirect'),"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks."
63e76e42e7ec9a5bef1df1ed,CWE-416,Use After Free,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
63e76e42e7ec9a5bef1df1ee,CWE-327,Use of a Broken or Risky Cryptographic Algorithm,The use of a broken or risky cryptographic algorithm is an unnecessary risk that may result in the exposure of sensitive information.
63e76e42e7ec9a5bef1df1ef,CWE-338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong."
63e76e42e7ec9a5bef1df1f0,CWE-134,Use of Externally-Controlled Format String,"The software uses a function that accepts a format string as an argument, but the format string originates from an external source."
63e76e42e7ec9a5bef1df1f1,CWE-470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),"The application uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code."
63e76e42e7ec9a5bef1df1f2,CWE-798,Use of Hard-coded Credentials,"The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
63e76e42e7ec9a5bef1df1f3,CWE-706,Use of Incorrectly-Resolved Name or Reference,"The software uses a name or reference to access a resource, but the name/reference resolves to a resource that is outside of the intended control sphere."
63e76e42e7ec9a5bef1df1f4,CWE-330,Use of Insufficiently Random Values,The software uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.
63e76e42e7ec9a5bef1df1f5,CWE-916,Use of Password Hash With Insufficient Computational Effort,"The software generates a hash for a password, but it uses a scheme that does not provide a sufficient level of computational effort that would make password cracking attacks infeasible or expensive."
63e76e42e7ec9a5bef1df1f6,CWE-908,Use of Uninitialized Resource,The software uses or accesses a resource that has not been initialized.
63e76e42e7ec9a5bef1df1f7,CWE-640,Weak Password Recovery Mechanism for Forgotten Password,"The software contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak."
63e76e42e7ec9a5bef1df1f8,CWE-521,Weak Password Requirements,"The product does not require that users should have strong passwords, which makes it easier for attackers to compromise user accounts."
63e76e42e7ec9a5bef1df1f9,CWE-91,XML Injection (aka Blind XPath Injection),"The software does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system."
